,DATE,Category,Value
0,2023-10-30,lunch_sales,1295.5
1,2023-10-31,lunch_sales,2110.0
2,2023-11-01,lunch_sales,2235.36
3,2023-11-02,lunch_sales,1737.3
4,2023-11-03,lunch_sales,2711.5
5,2023-11-04,lunch_sales,3194.55
6,2023-11-05,lunch_sales,4001.2
7,2023-10-30,lunch_covers,38.0
8,2023-10-31,lunch_covers,52.0
9,2023-11-01,lunch_covers,65.0
10,2023-11-02,lunch_covers,50.0
11,2023-11-03,lunch_covers,73.0
12,2023-11-04,lunch_covers,74.0
13,2023-11-05,lunch_covers,92.0
14,2023-10-30,dinner_sales,7615.2
15,2023-10-31,dinner_sales,10638.55
16,2023-11-01,dinner_sales,8012.25
17,2023-11-02,dinner_sales,14891.4
18,2023-11-03,dinner_sales,19.445.44
19,2023-11-04,dinner_sales,21709.19
20,2023-11-05,dinner_sales,9223.75
21,2023-10-30,dinner_covers,160.0
22,2023-10-31,dinner_covers,227.0
23,2023-11-01,dinner_covers,178.0
24,2023-11-02,dinner_covers,264.0
25,2023-11-03,dinner_covers,372.0
26,2023-11-04,dinner_covers,436.0
27,2023-11-05,dinner_covers,206.0
28,2023-10-30,bar_sales,1646.5
29,2023-10-31,bar_sales,2750.5
30,2023-11-01,bar_sales,2058.0
31,2023-11-02,bar_sales,2839.8
32,2023-11-03,bar_sales,3834.5
33,2023-11-04,bar_sales,4253.26
34,2023-11-05,bar_sales,1557.0
35,2023-10-30,bar_covers,28.0
36,2023-10-31,bar_covers,46.0
37,2023-11-01,bar_covers,44.0
38,2023-11-02,bar_covers,44.0
39,2023-11-03,bar_covers,77.0
40,2023-11-04,bar_covers,79.0
41,2023-11-05,bar_covers,27.0
42,2023-10-30,takeout_sales,145.5
43,2023-10-31,takeout_sales,303.0
44,2023-11-01,takeout_sales,69.5
45,2023-11-02,takeout_sales,37.0
46,2023-11-03,takeout_sales,323.5
47,2023-11-04,takeout_sales,180.5
48,2023-11-05,takeout_sales,116.0
49,2023-10-30,total_net_sales,8910.7
50,2023-10-31,total_net_sales,12748.55
51,2023-11-01,total_net_sales,10247.61
52,2023-11-02,total_net_sales,16628.7
53,2023-11-03,total_net_sales,22156.94
54,2023-11-04,total_net_sales,24903.74
55,2023-11-05,total_net_sales,13224.95
56,2022-10-30,total_net_sales,12307.14
57,2022-10-31,total_net_sales,11094.7
58,2022-11-01,total_net_sales,16356.26
59,2022-11-02,total_net_sales,18084.46
60,2022-11-03,total_net_sales,23271.73
61,2022-11-04,total_net_sales,28416.34
62,2022-11-05,total_net_sales,18410.57
63,2023-10-30,variance,-0.2759731343
64,2023-10-31,variance,0.1490666715
65,2023-11-01,variance,-0.373474743
66,2023-11-02,variance,-0.08049784179
67,2023-11-03,variance,-0.04790318554
68,2023-11-04,variance,-0.1236119782
69,2023-11-05,variance,-0.2816653694
70,2023-10-30,explanation_of_sales_variance_plus_minus_2percent,
71,2023-10-31,explanation_of_sales_variance_plus_minus_2percent,
72,2023-11-01,explanation_of_sales_variance_plus_minus_2percent,
73,2023-11-02,explanation_of_sales_variance_plus_minus_2percent,
74,2023-11-03,explanation_of_sales_variance_plus_minus_2percent,
75,2023-11-04,explanation_of_sales_variance_plus_minus_2percent,
76,2023-11-05,explanation_of_sales_variance_plus_minus_2percent,
77,2023-10-30,total_covers,198
78,2023-10-31,total_covers,279
79,2023-11-01,total_covers,243
80,2023-11-02,total_covers,314
81,2023-11-03,total_covers,445
82,2023-11-04,total_covers,510
83,2023-11-05,total_covers,298
84,2023-10-30,lunch_ppa,34.09210526
85,2023-10-31,lunch_ppa,40.57692308
86,2023-11-01,lunch_ppa,34.39015385
87,2023-11-02,lunch_ppa,34.746
88,2023-11-03,lunch_ppa,37.14383562
89,2023-11-04,lunch_ppa,43.16959459
90,2023-11-05,lunch_ppa,43.49130435
91,2023-10-30,dinner_ppa,47.595
92,2023-10-31,dinner_ppa,46.86585903
93,2023-11-01,dinner_ppa,45.01264045
94,2023-11-02,dinner_ppa,56.40681818
95,2023-11-03,dinner_ppa,52.2
96,2023-11-04,dinner_ppa,49.79172018
97,2023-11-05,dinner_ppa,44.77548544
98,2023-10-30,comps_excluding_employee_comps,86.0
99,2023-10-31,comps_excluding_employee_comps,140.0
100,2023-11-01,comps_excluding_employee_comps,205.0
101,2023-11-02,comps_excluding_employee_comps,275.5
102,2023-11-03,comps_excluding_employee_comps,248.0
103,2023-11-04,comps_excluding_employee_comps,505.0
104,2023-11-05,comps_excluding_employee_comps,251.0
105,2023-10-30,comp_percent,0.009651318078
106,2023-10-31,comp_percent,0.01098164105
107,2023-11-01,comp_percent,0.0200046645
108,2023-11-02,comp_percent,0.01656774131
109,2023-11-03,comp_percent,0.01119288133
110,2023-11-04,comp_percent,0.02027807871
111,2023-11-05,comp_percent,0.0189792778
112,2023-10-30,Explanation of comps +/- 2% ,
113,2023-10-31,Explanation of comps +/- 2% ,
114,2023-11-01,Explanation of comps +/- 2% ,Guest recovery 
115,2023-11-02,Explanation of comps +/- 2% ,
116,2023-11-03,Explanation of comps +/- 2% ,
117,2023-11-04,Explanation of comps +/- 2% ,
118,2023-11-05,Explanation of comps +/- 2% ,
119,2023-10-30,labor_dollar,2912.51
120,2023-10-31,labor_dollar,3332.85
121,2023-11-01,labor_dollar,3343.94
122,2023-11-02,labor_dollar,4014.68
123,2023-11-03,labor_dollar,4497.23
124,2023-11-04,labor_dollar,5050.09
125,2023-11-05,labor_dollar,3924.62
