date,Explanation of comps +/- 2% ,explanation_of_sales_variance_plus_minus_2percent,CATERING SALES,TOTAL NET SALES (EXC CATERING),TOTAL NET SALES (INC CATERING),VARIANCE TO 2021,VARIANCE TO 2022,bar_covers,bar_sales,comp_percent,comps_excluding_employee_comps,dinner_covers,dinner_ppa,dinner_sales,labor_dollar,labor_percent,lunch_covers,lunch_ppa,lunch_sales,takeout_sales,total_covers,total_net_sales
2023-01-02,$310 Alcohol comps(guest recovery) $216 Specail Occasion,Insanely busy lunch and 37 bottles sold all day,,,,,,,,,,,,,,,,,,,,
2023-01-03,,"Decent walk in traffic, Good wine sales",,,,,,,,,,,,,,,,,,,,
2023-01-04,,"pop at 7 pm, again great wine sales",,,,,,,,,,,,,,,,,,,,
2023-01-05,,Early dinner pop,,,,,,,,,,,,,,,,,,,,
2023-01-06,,Best Lunch and Dinner sales of the week!,,,,,,,,,,,,,,,,,,,,
2023-01-07,,Art fair on 5th,,,,,,,,,,,,,,,,,,,,
2023-01-08,,"Sunday Jazz, Busy all the way through Happy Hour",,,,,,,,,,,,,,,,,,,,
2023-01-09,"$48 owner alc, $112 ownerfood","Slow night on 5th, Art show for 2 days, day prior",,,,,,,,,,,,,,,,,,,,
2023-01-10,,"Steady lunch, good wine sales tonight",,,,,,,,,,,,,,,,,,,,
2023-01-11,,"Busy Bar, pop between 6-7 pm",,,,,,,,,,,,,,,,,,,,
2023-01-12,,Full patio all evening,,,,,,,,,,,,,,,,,,,,
2023-01-13,,A full restaurant all evening,,,,,,,,,,,,,,,,,,,,
2023-01-14,,"Very cold, in the 50's, so instead of the beach they came to the french!",,,,,,,,,,,,,,,,,,,,
2023-01-15,,"Sunday Jazz Brunch Steady HH, up against rain from PY",,,,,,,,,,,,,,,,,,,,
2023-01-16,,MLK parade - holiday,,,,,,,,,,,,,,,,,,,,
2023-01-17,,Last Year MLK day,,,,,,,,,,,,,,,,,,,,
2023-01-18,Owner food $343 Owner Al $154 Special Occasion $60 Special Al $67,Steady dinner full patio all evening. Small catering drop off for Ferrari,,,,,,,,,,,,,,,,,,,,
2023-01-19,"Manager meal Chef Maria, $120 Special Occasion",Great wine sales from FOH team! MC Escher Event at Ferrari,,,,,,,,,,,,,,,,,,,,
2023-01-20,,"Steady Dinner, great weather",,,,,,,,,,,,,,,,,,,,
2023-01-21,,"Breakfast Event at Ferrari. Steady lunch. Busy dinner, people waiting for outside dining, PDR $2K",,,,,,,,,,,,,,,,,,,,
2023-01-22,,"power outtage from 3 to 5:40 pm, Celerbation of life 80 guest ",,,,,,,,,,,,,,,,,,,,
2023-01-23,Training food,"rainy day, drizzled most of day.  Nite cleared up.",,,,,,,,,,,,,,,,,,,,
2023-01-24,,"Private event in the 70's 22top, good wine sales",,,,,,,,,,,,,,,,,,,,
2023-01-25,,Whole area internet outage for 4+ hours,,,,,,,,,,,,,,,,,,,,
2023-01-26,Owner food,Busy bustling lunch. Rain this evening till 7pm and cold.,,,,,,,,,,,,,,,,,,,,
2023-01-27,,Last year we had private event 7k,,,,,,,,,,,,,,,,,,,,
2023-01-28,,"Swamp Buggy Parade, Full restaurant during the evening",,,,,,,,,,,,,,,,,,,,
2023-01-29,,Steady Sunday Jazz brunch,,,,,,,,,,,,,,,,,,,,
